 timestep,Germany_air_temperature,Germany_CW_temperature,USA_air_temperature,USA_CW_temperature
2023-01-01 00:00:00,14.2,,7.5,17.49074074074074
2023-01-01 01:00:00,12.9,,10.8,17.296296296296294
2023-01-01 02:00:00,13.6,,8.4,18.21296296296296
2023-01-01 03:00:00,13.2,,7.6,18.296296296296298
2023-01-01 04:00:00,12.8,,8.4,18.76851851851852
2023-01-01 05:00:00,12.9,,10.6,18.537037037037035
2023-01-01 06:00:00,12.6,,9.7,19.37962962962963
2023-01-01 07:00:00,12.2,,10.4,19.47222222222222
2023-01-01 08:00:00,12.0,,8.3,19.972222222222225
2023-01-01 09:00:00,12.9,,9.2,19.52777777777778
2023-01-01 10:00:00,13.7,,10.2,19.740740740740744
2023-01-01 11:00:00,14.1,,12.2,19.60185185185185
2023-01-01 12:00:00,14.2,,13.3,20.185185185185187
2023-01-01 13:00:00,14.2,,16.1,20.76851851851852
2023-01-01 14:00:00,13.4,,18.0,21.194444444444443
2023-01-01 15:00:00,13.1,,19.0,21.092592592592595
2023-01-01 16:00:00,12.8,,18.1,21.055555555555557
2023-01-01 17:00:00,10.7,,18.0,20.833333333333336
2023-01-01 18:00:00,11.4,,14.2,19.064814814814813
2023-01-01 19:00:00,11.8,,10.6,18.26851851851852
2023-01-01 20:00:00,8.9,,9.5,17.425925925925927
2023-01-01 21:00:00,8.5,,8.5,16.73148148148148
2023-01-01 22:00:00,8.5,,7.6,16.037037037037038
2023-01-01 23:00:00,9.8,,6.5,15.425925925925926
2023-01-02 00:00:00,13.2,,5.6,15.24074074074074
2023-01-02 01:00:00,13.7,,5.5,14.74074074074074
2023-01-02 02:00:00,13.1,,7.5,14.694444444444445
2023-01-02 03:00:00,13.3,,5.2,14.0
2023-01-02 04:00:00,12.8,,5.0,14.583333333333334
2023-01-02 05:00:00,9.9,,5.2,14.296296296296296
2023-01-02 06:00:00,10.0,,6.6,14.990740740740742
2023-01-02 07:00:00,11.9,,6.3,15.657407407407408
